step,episode,episode_reward,env,seed,agent
2200000,2200,967.5,ball_in_cup_catch,7,DrQ
2210000,2210,974.7,ball_in_cup_catch,7,DrQ
2220000,2220,964.2,ball_in_cup_catch,7,DrQ
2230000,2230,976.7,ball_in_cup_catch,7,DrQ
2240000,2240,961.2,ball_in_cup_catch,7,DrQ
2250000,2250,969.2,ball_in_cup_catch,7,DrQ
2260000,2260,962.6,ball_in_cup_catch,7,DrQ
2270000,2270,972.1,ball_in_cup_catch,7,DrQ
2280000,2280,958.7,ball_in_cup_catch,7,DrQ
2290000,2290,961.3,ball_in_cup_catch,7,DrQ
2300000,2300,978.3,ball_in_cup_catch,7,DrQ
2310000,2310,965.2,ball_in_cup_catch,7,DrQ
2320000,2320,977.8,ball_in_cup_catch,7,DrQ
2330000,2330,969.5,ball_in_cup_catch,7,DrQ
2340000,2340,979.8,ball_in_cup_catch,7,DrQ
2350000,2350,961.6,ball_in_cup_catch,7,DrQ
2360000,2360,972.3,ball_in_cup_catch,7,DrQ
2370000,2370,958.0,ball_in_cup_catch,7,DrQ
2380000,2380,967.8,ball_in_cup_catch,7,DrQ
2390000,2390,970.1,ball_in_cup_catch,7,DrQ
0,0,191.5,ball_in_cup_catch,6,DrQ
10000,10,0.0,ball_in_cup_catch,6,DrQ
20000,20,0.0,ball_in_cup_catch,6,DrQ
30000,30,98.9,ball_in_cup_catch,6,DrQ
40000,40,0.0,ball_in_cup_catch,6,DrQ
50000,50,197.1,ball_in_cup_catch,6,DrQ
60000,60,0.0,ball_in_cup_catch,6,DrQ
70000,70,658.0,ball_in_cup_catch,6,DrQ
80000,80,497.2,ball_in_cup_catch,6,DrQ
90000,90,770.9,ball_in_cup_catch,6,DrQ
100000,100,595.8,ball_in_cup_catch,6,DrQ
110000,110,854.3,ball_in_cup_catch,6,DrQ
120000,120,961.5,ball_in_cup_catch,6,DrQ
130000,130,916.2,ball_in_cup_catch,6,DrQ
140000,140,935.5,ball_in_cup_catch,6,DrQ
150000,150,933.7,ball_in_cup_catch,6,DrQ
160000,160,960.0,ball_in_cup_catch,6,DrQ
170000,170,944.7,ball_in_cup_catch,6,DrQ
180000,180,957.3,ball_in_cup_catch,6,DrQ
190000,190,958.5,ball_in_cup_catch,6,DrQ
200000,200,955.6,ball_in_cup_catch,6,DrQ
210000,210,949.0,ball_in_cup_catch,6,DrQ
220000,220,964.9,ball_in_cup_catch,6,DrQ
230000,230,971.7,ball_in_cup_catch,6,DrQ
240000,240,959.5,ball_in_cup_catch,6,DrQ
